Joueurs;Nbr matchs;Titu.;Remp.;Essais.;Transfo.;Péna.;Drops;Pts;Cartons jaunes;Cartons rouges
ARMITAGE;16;16;0;1;0;3;0;14;2;0
ARNOLD;21;21;0;7;0;0;0;35;0;0
ATTOUB;10;5;5;0;0;0;0;0;1;0
BARASSI;0;0;0;0;0;0;0;0;0;0
BEAUXIS;6;4;2;0;7;6;0;32;0;0
BEKHUIS;21;5;16;0;0;0;0;0;0;0
BELAN;14;9;5;1;0;0;0;5;0;0
BONNAIRE;13;8;5;0;0;0;0;0;0;0
BONNEFOND;4;4;0;0;0;0;0;0;0;0
BOTHA;14;4;10;0;0;0;0;0;0;0
BROWNING;7;5;2;0;0;0;0;0;0;0
BRUNI;15;12;3;1;0;0;0;5;1;0
BUCKLE;21;13;8;0;0;0;0;0;0;0
CLEMENT;9;2;7;3;0;0;0;15;0;0
CLUNIES-ROSS;5;2;3;0;0;0;0;0;0;0
COUILLOUD;12;6;6;2;0;0;0;10;0;0
DURAND;11;5;6;0;0;0;0;0;1;0
FEARNS;19;18;1;8;0;0;0;40;0;0
FIGUEROLA;11;6;5;0;0;0;0;0;1;0
FOURIE;13;5;8;2;0;0;0;10;2;0
Gear;10;9;1;0;0;0;0;0;0;0
GOMEZ-KODELA;22;16;6;0;0;0;0;0;3;0
GOUX;0;0;0;0;0;0;0;0;0;0
HARRIS;21;14;7;2;7;9;0;51;0;0
HUYARD;0;0;0;0;0;0;0;0;0;0
Isa;7;5;2;3;0;0;0;15;0;0
IVALDI;21;19;2;1;0;0;0;5;0;0
JAVAKHIA;0;0;0;0;0;0;0;0;0;0
LAMBEY;15;9;6;1;0;0;0;5;0;0
LOURSAC;1;1;0;1;0;0;0;5;0;0
MAPUSUA;6;1;5;1;0;0;0;5;0;0
MAVINGA;0;0;0;0;0;0;0;0;0;0
MENINI;22;10;12;0;0;0;0;0;1;0
MICHALAK;19;13;6;1;21;35;0;152;1;0
MOSTERT;0;0;0;0;0;0;0;0;0;0
NALAGA;20;18;2;7;0;0;0;35;0;0
NAVROZASHVILI;0;0;0;0;0;0;0;0;0;0
NJEWEL;5;2;3;0;0;0;0;0;0;0
PAEA;16;16;0;1;0;0;0;5;0;0
PAULINO;6;4;2;0;0;0;0;0;1;0
PAULO;22;5;17;1;0;0;0;5;0;0
PORICAL;6;4;2;0;4;3;0;17;0;0
POTGIETER;11;5;6;0;4;9;0;35;0;0
PRIVAT;18;17;1;0;0;0;0;0;0;0
PURICELLI;20;19;1;0;0;0;0;0;0;0
REGARD;13;8;5;2;0;0;0;10;0;0
ROMANET;2;2;0;0;0;0;0;0;0;0
TISON;1;1;0;0;0;0;0;0;0;0
TUIFUA;21;13;8;2;0;0;0;10;0;1
WULF;12;11;1;0;0;0;0;0;0;0
