Joueurs;Nbr matchs;Titu.;Remp.;Essais.;Transfo.;Péna.;Drops;Pts;Jaune;Rouge
ARMITAGE;1;1;0;0;0;0;0;0;0;0
ARNOLD;8;6;2;2;0;0;0;10;0;0
BARASSI;4;4;0;0;0;0;0;0;1;0
BEAUXIS;5;3;2;0;4;8;0;32;0;0
BRUNI;0;0;0;0;0;0;0;0;0;0
BUCKLE;1;0;1;1;0;0;0;5;0;0
BUTTIN;6;5;1;0;0;0;0;0;0;0
CARIZZA;5;1;4;0;0;0;0;0;0;0
CHAUME;7;7;0;0;0;0;0;0;0;0
CHOIRAT;3;0;3;0;0;0;0;0;0;0
COUILLOUD;5;3;2;1;0;0;0;5;0;0
CRETIN;5;4;1;1;0;0;0;5;0;0
DELORD;0;0;0;0;0;0;0;0;0;0
DOUSSAIN;7;3;4;0;5;4;0;22;0;0
FEARNS;3;1;2;0;0;0;0;0;0;0
FOURIE;3;1;2;0;0;0;0;0;0;0
GILL;6;5;1;1;0;0;0;5;0;0
GOBET;0;0;0;0;0;0;0;0;0;0
GOMEZ-KODELA;8;5;3;0;0;0;0;0;0;0
GOUJON;7;5;2;0;0;0;0;0;0;0
HALAIFONUA;0;0;0;0;0;0;0;0;0;0
IVALDI;3;2;1;0;0;0;0;0;1;0
KAABECHE;5;2;3;0;0;0;0;0;1;0
LACOMBE;7;1;6;0;0;0;0;0;0;0
LAMBEY;6;5;1;0;0;0;0;0;0;0
MAUROUARD;8;6;2;1;0;0;0;5;0;0
McLEOD;0;0;0;0;0;0;0;0;0;0
MENINI;5;0;5;0;0;0;0;0;1;0
MIGNOT;5;3;2;1;0;0;0;5;1;0
MOIROD;0;0;0;0;0;0;0;0;0;0
NAKAITACI;7;7;0;4;0;0;0;20;0;0
NGATAI;9;8;1;5;0;0;0;25;0;0
OOSTHUIZEN;8;5;3;2;0;0;0;10;0;0
PALISSON;2;2;0;0;0;0;0;0;0;0
PURICELLI;5;5;0;0;0;0;0;0;0;0
PÉLISSIÉ;6;5;1;1;0;0;0;5;0;0
REGARD;9;5;4;1;0;0;0;5;0;0
RIC;7;4;3;0;0;0;0;0;0;0
ROLLAND;0;0;0;0;0;0;0;0;0;0
ROODT;7;5;2;1;0;0;0;5;0;0
SEGURET;0;0;0;0;0;0;0;0;0;0
SOBELA;7;6;1;0;0;0;0;0;0;0
TUVA;0;0;0;0;0;0;0;0;0;0
VAN DER MERWE;4;2;2;0;0;0;0;0;1;0
WISNIEWSKI;4;4;0;0;10;10;1;53;0;0
WULF;6;4;2;1;0;0;0;5;0;0
YAMEOGO;0;0;0;0;0;0;0;0;0;0
ZOUHAIR;0;0;0;0;0;0;0;0;0;0
